文件名,坐标,船数量
16842,0.638671875 0.962890625 0.14453125 0.04296875,1
16846,0.73046875 0.376953125 0.0625 0.11328125,1
16847,0.728515625 0.96484375 0.14453125 0.0625,1
16848,0.220703125 0.97265625 0.16015625 0.046875,1
16849,0.572265625 0.68359375 0.13671875 0.0546875,1
16851,0.845703125 0.705078125 0.12890625 0.05078125,1
16854,0.345703125 0.203125 0.13671875 0.0625,1
16858,0.12109375 0.029296875 0.2421875 0.05859375,1
16860,0.1640625 0.521484375 0.1015625 0.05078125,1
16862,0.232421875 0.3046875 0.07421875 0.1171875,1
16863,0.755859375 0.6640625 0.16015625 0.4375,1
16864,0.255859375 0.65625 0.16796875 0.46875,1
16865,0.6328125 0.548828125 0.125 0.19921875,1
16868,0.7890625 0.505859375 0.0859375 0.04296875,1
16872,0.51953125 0.46484375 0.0703125 0.0859375;0.93359375 0.169921875 0.0625 0.08203125,2
16876,0.052734375 0.248046875 0.07421875 0.09765625;0.515625 0.244140625 0.0859375 0.06640625;0.630859375 0.525390625 0.08984375 0.05078125,3
16877,0.03125 0.2421875 0.0625 0.0546875;0.12890625 0.51953125 0.0859375 0.0546875;0.716796875 0.935546875 0.05859375 0.09765625;0.90625 0.482421875 0.0859375 0.05078125,4
16880,0.373046875 0.724609375 0.05078125 0.09765625;0.126953125 0.0234375 0.08984375 0.046875;0.716796875 0.4375 0.05859375 0.09375;0.12890625 0.91796875 0.046875 0.078125,4
16881,0.21484375 0.4375 0.0625 0.09375,1
16882,0.904296875 0.90234375 0.11328125 0.046875,1
16883,0.40625 0.90234375 0.1171875 0.046875,1
16884,0.54296875 0.7265625 0.1640625 0.140625,1
16886,0.908203125 0.40234375 0.12890625 0.046875,1
16889,0.0625 0.251953125 0.125 0.19140625,1
16893,0.294921875 0.208984375 0.07421875 0.10546875,1
16894,0.732421875 0.798828125 0.08203125 0.11328125,1
16896,0.423828125 0.140625 0.11328125 0.2734375,1
16898,0.78125 0.4765625 0.0546875 0.1015625,1
16901,0.28125 0.197265625 0.046875 0.10546875;0.548828125 0.552734375 0.05078125 0.16015625;0.658203125 0.232421875 0.05078125 0.12109375;0.927734375 0.17578125 0.04296875 0.1015625,4
16902,0.04296875 0.55078125 0.0546875 0.1640625;0.15625 0.232421875 0.046875 0.11328125;0.42578125 0.1796875 0.046875 0.1015625,3
16903,0.91015625 0.54296875 0.0625 0.1640625;0.55078125 0.064453125 0.0703125 0.12890625,2
16904,0.41015625 0.544921875 0.0625 0.16796875;0.048828125 0.064453125 0.05859375 0.12890625,2
16905,0.677734375 0.45703125 0.06640625 0.1015625,1
16906,0.912109375 0.05859375 0.05859375 0.1171875,1
16907,0.591796875 0.353515625 0.05859375 0.12109375;0.876953125 0.166015625 0.06640625 0.13671875,2
16908,0.09375 0.361328125 0.0625 0.12109375;0.583984375 0.810546875 0.08203125 0.15234375;0.380859375 0.1640625 0.07421875 0.1640625,3
16909,0.0859375 0.810546875 0.0859375 0.14453125,1
16910,0.6328125 0.681640625 0.0859375 0.11328125,1
16911,0.53125 0.7265625 0.0625 0.203125;0.24609375 0.61328125 0.0546875 0.1015625;0.634765625 0.185546875 0.08203125 0.12109375,3
16912,0.916015625 0.4921875 0.05078125 0.109375;0.865234375 0.23046875 0.07421875 0.09375,2
16913,0.419921875 0.4921875 0.05078125 0.109375;0.3671875 0.23828125 0.078125 0.1015625;0.74609375 0.111328125 0.0546875 0.11328125;0.921875 0.583984375 0.046875 0.12890625,4
16914,0.248046875 0.1171875 0.05859375 0.09375;0.53125 0.23046875 0.0859375 0.2109375;0.421875 0.58203125 0.046875 0.125,3
16916,0.552734375 0.228515625 0.06640625 0.15234375,1
16921,0.78125 0.24609375 0.171875 0.34375,1
16922,0.287109375 0.267578125 0.16796875 0.30859375,1
16923,0.185546875 0.107421875 0.10546875 0.06640625,1
16924,0.5078125 0.642578125 0.2421875 0.15234375,1
16925,0.51171875 0.146484375 0.2265625 0.15234375,1
16929,0.337890625 0.94921875 0.06640625 0.09375,1
16931,0.287109375 0.66015625 0.19921875 0.53125,1
16932,0.701171875 0.9453125 0.16015625 0.1015625,1
16933,0.21484375 0.94140625 0.1640625 0.109375,1
16936,0.458984375 0.3515625 0.37109375 0.1875,1
16938,0.4765625 0.59765625 0.2734375 0.0859375,1
16939,0.48046875 0.095703125 0.3125 0.08984375,1
16940,0.71875 0.783203125 0.2109375 0.17578125,1
16943,0.22265625 0.279296875 0.21875 0.19140625,1
16944,0.44140625 0.46484375 0.203125 0.078125,1
16946,0.111328125 0.9453125 0.06640625 0.09375,1
16952,0.3046875 0.515625 0.0546875 0.171875;0.515625 0.83984375 0.0703125 0.1484375;0.81640625 0.466796875 0.0703125 0.13671875,3
16953,0.025390625 0.837890625 0.05078125 0.15234375;0.615234375 0.755859375 0.07421875 0.16015625;0.3203125 0.470703125 0.0703125 0.12890625;0.697265625 0.228515625 0.05859375 0.11328125,4
16956,0.4375 0.82421875 0.3046875 0.0859375,1
16957,0.103515625 0.46875 0.08203125 0.125,1
16959,0.4140625 0.5859375 0.2421875 0.1953125;0.35546875 0.9453125 0.1484375 0.09375,2
16962,0.208984375 0.93359375 0.12109375 0.078125;0.16015625 0.125 0.0546875 0.1484375;0.548828125 0.34375 0.08984375 0.0625,3
16963,0.73828125 0.779296875 0.140625 0.13671875,1
16966,0.03125 0.337890625 0.0625 0.14453125;0.265625 0.66015625 0.078125 0.1796875;0.796875 0.5703125 0.0703125 0.171875;0.611328125 0.255859375 0.07421875 0.16015625,4
16970,0.208984375 0.431640625 0.11328125 0.08203125;0.234375 0.8359375 0.09375 0.1015625,2
16971,0.439453125 0.59375 0.08984375 0.1328125,1
16973,0.318359375 0.7265625 0.10546875 0.09375;0.236328125 0.26953125 0.12890625 0.1328125;0.921875 0.24609375 0.0859375 0.1796875;0.7578125 0.94140625 0.1171875 0.0546875,4
16977,0.703125 0.27734375 0.0546875 0.1171875;0.302734375 0.068359375 0.08984375 0.13671875,2
16979,0.734375 0.337890625 0.09375 0.10546875,1
16981,0.4375 0.091796875 0.09375 0.13671875;0.58984375 0.94140625 0.171875 0.0625,2
16983,0.31640625 0.23046875 0.1015625 0.0859375;0.759765625 0.4453125 0.11328125 0.0546875;0.830078125 0.921875 0.16015625 0.0703125,3
16986,0.568359375 0.59765625 0.12890625 0.0703125;0.341796875 0.107421875 0.10546875 0.05078125;0.8515625 0.0546875 0.1171875 0.0546875,3
16987,0.064453125 0.599609375 0.12890625 0.05859375;0.353515625 0.0546875 0.10546875 0.0625,2
16988,0.130859375 0.529296875 0.15234375 0.12109375,1
16991,0.603515625 0.439453125 0.16015625 0.05859375,1
16992,0.10546875 0.466796875 0.1953125 0.12109375;0.55859375 0.953125 0.1640625 0.0703125,2
16994,0.27734375 0.84375 0.1484375 0.0625,1
16997,0.416015625 0.751953125 0.04296875 0.12890625,1
16999,0.693359375 0.267578125 0.14453125 0.08203125,1
17001,0.064453125 0.455078125 0.12890625 0.08203125;0.68359375 0.9140625 0.21875 0.109375,2
17002,0.189453125 0.912109375 0.22265625 0.11328125;0.77734375 0.34375 0.140625 0.0703125,2
17003,0.279296875 0.341796875 0.13671875 0.05859375,1
17005,0.08984375 0.609375 0.1796875 0.1171875;0.23046875 0.23828125 0.1484375 0.0703125;0.916015625 0.26953125 0.05078125 0.109375,3
17006,0.416015625 0.265625 0.04296875 0.1171875,1
17008,0.19140625 0.4140625 0.2109375 0.109375;0.900390625 0.88671875 0.19140625 0.1171875,2
17010,0.58203125 0.10546875 0.1796875 0.125,1
17011,0.083984375 0.11328125 0.16796875 0.125,1
17014,0.583984375 0.828125 0.19921875 0.0546875,1
17015,0.087890625 0.828125 0.17578125 0.0546875,1
17017,0.423828125 0.390625 0.23046875 0.109375,1
17019,0.169921875 0.15234375 0.12890625 0.15625,1
17021,0.0859375 0.32421875 0.171875 0.046875,1
17024,0.943359375 0.76953125 0.06640625 0.125;0.45703125 0.94140625 0.0546875 0.109375,2
17025,0.443359375 0.779296875 0.06640625 0.13671875;0.705078125 0.271484375 0.06640625 0.08984375,2
17026,0.197265625 0.263671875 0.07421875 0.08984375;0.50390625 0.931640625 0.0546875 0.10546875,2
17033,0.171875 0.236328125 0.046875 0.13671875,1
17034,0.748046875 0.291015625 0.04296875 0.11328125,1
17038,0.42578125 0.69140625 0.0703125 0.109375;0.302734375 0.94140625 0.06640625 0.09375,2
17042,0.302734375 0.93359375 0.10546875 0.1015625,1
17043,0.85546875 0.63671875 0.09375 0.09375,1
17044,0.34765625 0.134765625 0.0859375 0.09765625;0.955078125 0.646484375 0.07421875 0.05859375,2
17046,0.806640625 0.427734375 0.06640625 0.07421875;0.92578125 0.193359375 0.0703125 0.09765625,2
17047,0.302734375 0.4296875 0.06640625 0.078125;0.427734375 0.19140625 0.07421875 0.09375,2
17049,0.4609375 0.203125 0.046875 0.1171875,1
17050,0.8046875 0.43359375 0.109375 0.1015625;0.5859375 0.939453125 0.046875 0.08984375,2
17051,0.306640625 0.439453125 0.12109375 0.10546875;0.083984375 0.943359375 0.04296875 0.10546875,2
17054,0.60546875 0.560546875 0.0546875 0.06640625,1
17055,0.109375 0.5625 0.0625 0.078125,1
17058,0.107421875 0.05859375 0.05859375 0.0703125;0.166015625 0.88671875 0.05078125 0.1015625,2
17060,0.361328125 0.712890625 0.05078125 0.10546875,1
17062,0.25 0.638671875 0.0703125 0.10546875,1
17064,0.365234375 0.224609375 0.05859375 0.13671875,1
17065,0.251953125 0.1171875 0.06640625 0.0859375,1
17066,0.623046875 0.416015625 0.09765625 0.12109375,1
17067,0.123046875 0.419921875 0.10546875 0.12890625,1
17069,0.2890625 0.482421875 0.109375 0.11328125,1
17070,0.708984375 0.70703125 0.07421875 0.140625,1
17071,0.482421875 0.49609375 0.09765625 0.1328125,1
17074,0.966796875 0.73046875 0.05859375 0.1640625,1
17075,0.478515625 0.734375 0.07421875 0.1640625,1
17076,0.529296875 0.927734375 0.08984375 0.11328125,1
17083,0.033203125 0.43359375 0.06640625 0.1171875,1
17085,0.275390625 0.603515625 0.09765625 0.11328125,1
17087,0.27734375 0.107421875 0.09375 0.11328125,1
17089,0.470703125 0.19921875 0.08203125 0.0859375,1
17090,0.919921875 0.6796875 0.10546875 0.1640625,1
17094,0.056640625 0.7265625 0.11328125 0.1015625,1
17096,0.896484375 0.490234375 0.17578125 0.11328125,1
17097,0.537109375 0.27734375 0.15234375 0.1953125;0.6875 0.921875 0.15625 0.1328125,2
17099,0.55078125 0.87109375 0.0859375 0.0859375,1
17101,0.19140625 0.69921875 0.1796875 0.1328125,1
17102,0.884765625 0.02734375 0.16015625 0.0546875,1
17105,0.181640625 0.427734375 0.16015625 0.12890625,1
17106,0.552734375 0.369140625 0.08203125 0.08984375,1
17107,0.052734375 0.37109375 0.08203125 0.09375;0.693359375 0.20703125 0.18359375 0.1484375,2
17111,0.658203125 0.501953125 0.12890625 0.11328125,1
17112,0.158203125 0.50390625 0.12890625 0.1015625,1
17114,0.845703125 0.59765625 0.14453125 0.109375,1
17116,0.853515625 0.09765625 0.15234375 0.109375,1
17117,0.34765625 0.099609375 0.1484375 0.11328125,1
17118,0.1640625 0.904296875 0.1484375 0.09765625,1
17119,0.6640625 0.90625 0.1484375 0.09375,1
17120,0.16015625 0.408203125 0.1484375 0.09765625,1
17121,0.6640625 0.404296875 0.1484375 0.09765625,1
17122,0.560546875 0.6953125 0.11328125 0.0859375,1
17125,0.19140625 0.06640625 0.0546875 0.109375;0.265625 0.244140625 0.0703125 0.15234375;0.21484375 0.49609375 0.078125 0.1328125;0.03125 0.4921875 0.0625 0.125;0.349609375 0.865234375 0.05859375 0.18359375,5
17126,0.560546875 0.19140625 0.11328125 0.0859375,1
17129,0.05078125 0.642578125 0.0625 0.23046875,1
17131,0.4375 0.66796875 0.0859375 0.109375;0.9453125 0.783203125 0.0703125 0.12109375;0.72265625 0.35546875 0.0859375 0.3046875,3
17135,0.5390625 0.193359375 0.125 0.19921875;0.40234375 0.44140625 0.1171875 0.203125;0.26171875 0.701171875 0.1171875 0.20703125,3
17136,0.046875 0.1875 0.09375 0.1875;0.955078125 0.33203125 0.06640625 0.0625,2
17138,0.71875 0.45703125 0.1171875 0.1015625,1
17140,0.6484375 0.29296875 0.1328125 0.109375,1
17141,0.1484375 0.28515625 0.125 0.109375;0.8515625 0.787109375 0.1171875 0.09765625,2
17142,0.3515625 0.787109375 0.1171875 0.09765625,1
17143,0.771484375 0.626953125 0.04296875 0.12109375;0.87890625 0.416015625 0.0625 0.05078125,2
17144,0.076171875 0.220703125 0.03515625 0.09765625;0.595703125 0.630859375 0.26171875 0.19140625,2
17146,0.794921875 0.224609375 0.08203125 0.15234375;0.78515625 0.662109375 0.0703125 0.19140625,2
17147,0.330078125 0.349609375 0.12109375 0.09765625;0.685546875 0.51171875 0.13671875 0.0625;0.830078125 0.54296875 0.11328125 0.0859375,3
17150,0.51171875 0.892578125 0.1328125 0.13671875;0.029296875 0.82421875 0.05078125 0.1640625,2
17151,0.3515625 0.12890625 0.1171875 0.09375;0.6796875 0.5546875 0.125 0.0546875;0.9296875 0.70703125 0.1171875 0.09375;0.603515625 0.96875 0.11328125 0.046875;0.13671875 0.451171875 0.0859375 0.04296875,5
17152,0.03515625 0.876953125 0.0703125 0.10546875;0.8515625 0.29296875 0.1171875 0.109375,2
17153,0.35546875 0.2890625 0.125 0.109375;0.8125 0.9453125 0.09375 0.1015625,2
17155,0.701171875 0.486328125 0.09765625 0.08984375;0.1796875 0.55859375 0.109375 0.0546875;0.431640625 0.7109375 0.11328125 0.09375;0.1015625 0.96484375 0.1171875 0.0546875,4
17157,0.810546875 0.451171875 0.09765625 0.20703125,1
17158,0.306640625 0.44921875 0.09765625 0.2109375,1
17159,0.693359375 0.552734375 0.07421875 0.20703125;0.78515625 0.166015625 0.0625 0.18359375,2
17160,0.189453125 0.5546875 0.07421875 0.203125;0.287109375 0.16015625 0.07421875 0.1953125,2
17163,0.322265625 0.890625 0.07421875 0.0625,1
17166,0.041015625 0.37890625 0.08203125 0.1015625,1
17167,0.775390625 0.498046875 0.14453125 0.21484375,1
17169,0.888671875 0.7734375 0.07421875 0.1640625;0.712890625 0.55078125 0.04296875 0.109375,2
17170,0.2109375 0.556640625 0.0390625 0.10546875;0.392578125 0.775390625 0.07421875 0.16796875;0.587890625 0.53125 0.06640625 0.171875;0.6953125 0.078125 0.0703125 0.15625,4
17172,0.46875 0.068359375 0.0546875 0.08203125,1
17174,0.32421875 0.38671875 0.078125 0.0625,1
17175,0.7109375 0.056640625 0.0390625 0.10546875;0.892578125 0.26953125 0.07421875 0.1640625;0.583984375 0.73828125 0.09765625 0.125;0.96875 0.671875 0.0546875 0.171875,4
17177,0.087890625 0.048828125 0.06640625 0.09765625,1
17179,0.08203125 0.236328125 0.1015625 0.12890625;0.470703125 0.171875 0.07421875 0.1640625,2
17180,0.57421875 0.52734375 0.1484375 0.1640625,1
17182,0.35546875 0.755859375 0.140625 0.12109375,1
17186,0.513671875 0.591796875 0.16796875 0.19140625,1
17187,0.04296875 0.578125 0.0859375 0.1484375,1
17188,0.931640625 0.3125 0.12890625 0.1640625,1
17190,0.046875 0.076171875 0.09375 0.15234375,1
17191,0.91015625 0.529296875 0.1328125 0.17578125,1
17193,0.662109375 0.74609375 0.08984375 0.1640625,1
17194,0.1640625 0.74609375 0.09375 0.1796875,1
17195,0.76953125 0.849609375 0.0625 0.17578125,1
17199,0.1640625 0.25 0.0859375 0.171875,1
17204,0.76953125 0.134765625 0.0390625 0.09765625;0.794921875 0.65234375 0.19140625 0.171875,2
17206,0.50390625 0.904296875 0.078125 0.04296875,1
17207,0.541015625 0.138671875 0.07421875 0.27734375,1
17208,0.046875 0.138671875 0.078125 0.27734375,1
17210,0.447265625 0.783203125 0.17578125 0.09765625,1
17212,0.76171875 0.7890625 0.0703125 0.09375;0.578125 0.5 0.0703125 0.0390625;0.611328125 0.86328125 0.08203125 0.0546875,3
17213,0.037109375 0.5234375 0.07421875 0.1640625;0.466796875 0.1796875 0.07421875 0.25;0.55859375 0.68359375 0.1015625 0.125,3
17215,0.505859375 0.39453125 0.08984375 0.0546875,1
17218,0.447265625 0.283203125 0.16796875 0.09765625,1
17220,0.556640625 0.18359375 0.08984375 0.125;0.125 0.6640625 0.0703125 0.1953125;0.765625 0.8828125 0.1171875 0.1640625;0.03125 0.048828125 0.0625 0.09765625,4
17222,0.115234375 0.19921875 0.11328125 0.1875;0.625 0.146484375 0.0703125 0.16015625;0.814453125 0.69921875 0.08984375 0.125,3
17223,0.123046875 0.16015625 0.06640625 0.1953125;0.763671875 0.37890625 0.12890625 0.15625;0.314453125 0.69921875 0.08984375 0.1171875,3
17224,0.265625 0.375 0.1171875 0.171875,1
17226,0.31640625 0.201171875 0.1015625 0.12109375,1
17228,0.453125 0.69921875 0.1328125 0.1328125;0.712890625 0.857421875 0.13671875 0.15234375,2
17230,0.20703125 0.16796875 0.15625 0.1875,1
17232,0.611328125 0.66796875 0.10546875 0.140625;0.3515625 0.58203125 0.1015625 0.1328125;0.708984375 0.359375 0.13671875 0.140625;0.447265625 0.19921875 0.13671875 0.140625,4
17235,0.390625 0.58203125 0.09375 0.1484375;0.3515625 0.078125 0.109375 0.140625;0.611328125 0.169921875 0.09765625 0.13671875,3
17237,0.888671875 0.08984375 0.09765625 0.15625,1
17238,0.388671875 0.076171875 0.11328125 0.15234375,1
17239,0.12109375 0.77734375 0.0703125 0.078125;0.037109375 0.84375 0.07421875 0.0625;0.224609375 0.607421875 0.03515625 0.08984375;0.458984375 0.587890625 0.07421875 0.09765625;0.455078125 0.375 0.07421875 0.1015625;0.3828125 0.40625 0.0859375 0.0390625,6
17240,0.806640625 0.1484375 0.19921875 0.1796875,1
17241,0.302734375 0.150390625 0.20703125 0.17578125;0.681640625 0.759765625 0.30078125 0.22265625,2
17242,0.17578125 0.765625 0.3125 0.2109375,1
17243,0.798828125 0.671875 0.14453125 0.15625;0.638671875 0.8515625 0.12109375 0.140625,2
17244,0.2890625 0.673828125 0.1328125 0.15234375;0.138671875 0.8515625 0.11328125 0.1328125;0.5390625 0.345703125 0.0625 0.05859375;0.6171875 0.27734375 0.0859375 0.0859375;0.958984375 0.0859375 0.07421875 0.09375;0.72265625 0.103515625 0.03125 0.08984375;0.482421875 0.408203125 0.05078125 0.05078125,7
17245,0.45703125 0.083984375 0.0703125 0.09765625;0.224609375 0.10546875 0.02734375 0.09375;0.1171875 0.275390625 0.0703125 0.08203125;0.033203125 0.345703125 0.06640625 0.06640625,4
17246,0.81640625 0.77734375 0.15625 0.1875;0.947265625 0.6015625 0.09765625 0.140625,2
17247,0.791015625 0.173828125 0.13671875 0.15234375;0.6328125 0.35546875 0.1171875 0.1328125;0.453125 0.59765625 0.125 0.15625;0.31640625 0.791015625 0.171875 0.20703125,4
17250,0.419921875 0.892578125 0.16796875 0.15234375;0.2421875 0.759765625 0.1484375 0.09765625,2
17251,0.27734375 0.5546875 0.1328125 0.15625;0.146484375 0.72265625 0.14453125 0.1796875;0.609375 0.515625 0.203125 0.0859375;0.775390625 0.443359375 0.11328125 0.05078125,4
17252,0.271484375 0.44140625 0.10546875 0.046875;0.111328125 0.51953125 0.19921875 0.078125;0.79296875 0.484375 0.125 0.0625;0.94921875 0.533203125 0.09375 0.06640625,4
17253,0.529296875 0.91796875 0.12890625 0.15625;0.744140625 0.615234375 0.11328125 0.13671875;0.640625 0.748046875 0.1015625 0.11328125,3
17254,0.814453125 0.29296875 0.15234375 0.21875;0.947265625 0.099609375 0.09765625 0.12890625,2
17255,0.451171875 0.095703125 0.13671875 0.16015625;0.314453125 0.287109375 0.16015625 0.19921875,2
17256,0.55078125 0.544921875 0.078125 0.12890625,1
17257,0.048828125 0.53125 0.07421875 0.09375,1
17258,0.142578125 0.228515625 0.14453125 0.16796875;0.26953125 0.068359375 0.1328125 0.13671875;0.60546875 0.029296875 0.2109375 0.05859375,3
17260,0.310546875 0.576171875 0.08984375 0.07421875,1
17262,0.91015625 0.78515625 0.0625 0.078125,1
17263,0.412109375 0.783203125 0.06640625 0.08984375;0.625 0.611328125 0.078125 0.08203125,2
17266,0.8828125 0.529296875 0.140625 0.08984375;0.09375 0.572265625 0.1015625 0.08984375,2
17268,0.34375 0.146484375 0.0859375 0.09765625,1
17270,0.546875 0.689453125 0.1171875 0.19921875;0.41015625 0.919921875 0.1015625 0.15234375,2
17271,0.048828125 0.689453125 0.09765625 0.19140625;0.91015625 0.283203125 0.078125 0.08984375;0.953125 0.833984375 0.0703125 0.05859375,3
17272,0.455078125 0.833984375 0.07421875 0.06640625;0.41015625 0.287109375 0.0625 0.08984375;0.619140625 0.109375 0.06640625 0.078125,3
17275,0.650390625 0.78515625 0.12890625 0.109375;0.087890625 0.06640625 0.08203125 0.1015625;0.896484375 0.03515625 0.14453125 0.0703125,3
17276,0.39453125 0.03515625 0.1640625 0.0703125;0.15234375 0.791015625 0.1328125 0.10546875,2
17279,0.388671875 0.232421875 0.17578125 0.19921875,1
17281,0.5859375 0.3515625 0.046875 0.140625,1
17282,0.087890625 0.35546875 0.03515625 0.1328125,1
17283,0.595703125 0.7421875 0.06640625 0.171875;0.87109375 0.134765625 0.0390625 0.11328125,2
17285,0.029296875 0.689453125 0.05859375 0.15234375;0.21484375 0.8515625 0.0625 0.2109375,2
17286,0.626953125 0.9140625 0.08984375 0.1484375,1
17287,0.134765625 0.91796875 0.08984375 0.125,1
17291,0.24609375 0.134765625 0.109375 0.12109375;0.123046875 0.361328125 0.10546875 0.12890625,2
17293,0.3046875 0.697265625 0.0703125 0.26953125,1
17294,0.619140625 0.70703125 0.06640625 0.359375,1
17295,0.119140625 0.701171875 0.06640625 0.36328125,1
17296,0.623046875 0.181640625 0.05859375 0.31640625,1
17297,0.125 0.17578125 0.0625 0.328125,1
17298,0.490234375 0.640625 0.04296875 0.234375,1
17301,0.427734375 0.9140625 0.11328125 0.140625,1
17302,0.310546875 0.66796875 0.08203125 0.1171875;0.8671875 0.751953125 0.1015625 0.16796875;0.6171875 0.802734375 0.078125 0.17578125;0.9296875 0.419921875 0.09375 0.13671875,4
17303,0.11328125 0.806640625 0.0859375 0.19140625;0.36328125 0.7578125 0.09375 0.1640625;0.4296875 0.408203125 0.09375 0.15234375,3
17305,0.40625 0.9140625 0.0703125 0.1640625,1
17306,0.736328125 0.544921875 0.04296875 0.26171875,1
17307,0.23828125 0.533203125 0.0546875 0.27734375,1
17308,0.603515625 0.626953125 0.05859375 0.06640625,1
17309,0.1015625 0.634765625 0.0546875 0.05078125,1
17311,0.029296875 0.615234375 0.05859375 0.19140625;0.125 0.82421875 0.078125 0.1328125;0.1171875 0.294921875 0.0703125 0.18359375;0.361328125 0.259765625 0.10546875 0.17578125,4
17312,0.775390625 0.287109375 0.07421875 0.11328125;0.923828125 0.669921875 0.08203125 0.12109375;0.767578125 0.94921875 0.08984375 0.09375,3
17314,0.02734375 0.146484375 0.0546875 0.24609375;0.125 0.330078125 0.078125 0.13671875;0.232421875 0.55859375 0.09765625 0.1484375,3
17315,0.228515625 0.126953125 0.08203125 0.23046875,1
17316,0.482421875 0.517578125 0.08984375 0.23046875;0.54296875 0.08984375 0.0546875 0.1328125;0.75390625 0.056640625 0.0703125 0.11328125;0.97265625 0.71875 0.046875 0.234375,4
17318,0.802734375 0.916015625 0.08984375 0.16015625,1
17328,0.94921875 0.5546875 0.0625 0.078125,1
17329,0.44921875 0.552734375 0.0625 0.08984375,1
17330,0.63671875 0.658203125 0.1015625 0.14453125,1
17331,0.142578125 0.65625 0.10546875 0.1484375,1
17332,0.251953125 0.69140625 0.05078125 0.125;0.60546875 0.650390625 0.0625 0.19140625,2
17333,0.103515625 0.6484375 0.06640625 0.203125;0.603515625 0.482421875 0.05078125 0.20703125,2
17335,0.599609375 0.865234375 0.08984375 0.26171875,1
17338,0.44921875 0.05078125 0.0703125 0.0859375,1
17341,0.1015625 0.146484375 0.0625 0.20703125,1
17343,0.12109375 0.623046875 0.0390625 0.22265625,1
17344,0.59765625 0.400390625 0.0859375 0.30859375,1
17345,0.380859375 0.642578125 0.04296875 0.17578125,1
17346,0.623046875 0.12109375 0.05078125 0.21875;0.671875 0.861328125 0.0625 0.23046875,2
17347,0.166015625 0.861328125 0.06640625 0.23828125;0.125 0.126953125 0.046875 0.22265625,2
17348,0.81640625 0.212890625 0.03125 0.16796875;0.958984375 0.2890625 0.07421875 0.1328125,2
17349,0.4609375 0.28515625 0.0703125 0.140625;0.31640625 0.224609375 0.0390625 0.15234375;0.8828125 0.140625 0.046875 0.1796875;0.94921875 0.6796875 0.0546875 0.1171875,4
17351,0.66796875 0.296875 0.0625 0.1015625,1
17352,0.169921875 0.294921875 0.05859375 0.10546875,1
17353,0.904296875 0.8359375 0.08984375 0.3203125,1
17355,0.90625 0.416015625 0.046875 0.14453125,1
17356,0.404296875 0.421875 0.05078125 0.140625,1
17360,0.1015625 0.1328125 0.0546875 0.0546875,1
17362,0.904296875 0.359375 0.09765625 0.3359375,1
17365,0.8359375 0.783203125 0.0390625 0.11328125;0.947265625 0.21875 0.05078125 0.1640625,2
17366,0.453125 0.22265625 0.0625 0.1796875;0.337890625 0.783203125 0.05078125 0.11328125,2
17367,0.49609375 0.568359375 0.1171875 0.10546875;0.123046875 0.517578125 0.09765625 0.08984375;0.912109375 0.044921875 0.08984375 0.08984375,3
17368,0.337890625 0.3359375 0.05859375 0.2265625,1
17369,0.607421875 0.86328125 0.05859375 0.2265625,1
17372,0.232421875 0.7734375 0.04296875 0.09375,1
17376,0.16796875 0.591796875 0.046875 0.23046875,1
17378,0.390625 0.916015625 0.4296875 0.16015625;0.802734375 0.80859375 0.23828125 0.109375,2
17380,0.28125 0.3203125 0.4375 0.1484375;0.740234375 0.25 0.39453125 0.1328125,2
17382,0.28125 0.634765625 0.0625 0.07421875,1
17384,0.72265625 0.892578125 0.3125 0.09765625,1
17388,0.724609375 0.400390625 0.30078125 0.09765625,1
17389,0.228515625 0.400390625 0.30078125 0.09765625,1
17390,0.650390625 0.353515625 0.11328125 0.14453125,1
17392,0.103515625 0.919921875 0.20703125 0.09765625,1
17394,0.521484375 0.419921875 0.39453125 0.12109375,1
17395,0.099609375 0.416015625 0.19921875 0.11328125,1
17396,0.544921875 0.80078125 0.19921875 0.078125,1
17397,0.07421875 0.80078125 0.1484375 0.0625,1
17399,0.23828125 0.572265625 0.0703125 0.07421875,1
17403,0.07421875 0.298828125 0.1484375 0.06640625,1
17404,0.830078125 0.689453125 0.33203125 0.21484375,1
17405,0.375 0.689453125 0.421875 0.23046875,1
17409,0.298828125 0.029296875 0.10546875 0.04296875,1
17411,0.798828125 0.123046875 0.33984375 0.24609375,1
17413,0.810546875 0.119140625 0.16015625 0.11328125,1
17414,0.310546875 0.115234375 0.15234375 0.11328125,1
17415,0.869140625 0.357421875 0.13671875 0.12109375,1
17416,0.3671875 0.35546875 0.140625 0.125,1
17417,0.62109375 0.83203125 0.09375 0.0546875,1
17418,0.125 0.833984375 0.0859375 0.05859375,1
17419,0.876953125 0.626953125 0.08203125 0.12890625,1
17420,0.37109375 0.62890625 0.0703125 0.1328125,1
17421,0.623046875 0.333984375 0.08984375 0.05859375,1
17422,0.125 0.3359375 0.09375 0.0546875,1
17423,0.87109375 0.125 0.078125 0.1328125,1
17424,0.376953125 0.123046875 0.08203125 0.13671875,1
17425,0.6875 0.5390625 0.1484375 0.109375,1
17426,0.677734375 0.048828125 0.13671875 0.09765625,1
17427,0.744140625 0.66015625 0.09765625 0.1171875,1
17430,0.24609375 0.15625 0.09375 0.109375,1
17432,0.330078125 0.580078125 0.11328125 0.07421875,1
17434,0.326171875 0.08203125 0.11328125 0.078125,1
17435,0.744140625 0.55859375 0.12109375 0.1171875,1
